RowNumber,CreditScore,Geography,Age,Balance,IsActiveMember,EstimatedSalary,Exited,Complain
59,511,2,66,0,0,1643.11,1,1
60,614,1,51,40685.92,1,46775.28,0,0
61,742,3,35,136857,0,84509.57,0,0
62,687,3,27,152328.88,0,126494.82,0,0
63,555,2,33,56084.69,0,178798.13,0,0
64,684,2,56,78707.16,1,99398.36,0,0
65,603,3,26,109166.37,1,92840.67,0,0
66,751,3,36,169831.46,1,27758.36,0,1
67,581,3,34,101633.04,0,110431.51,0,1
68,735,3,43,123180.01,1,196673.28,0,1
69,661,3,35,150725.53,1,113656.85,0,1
70,675,1,21,98373.26,0,18203,0,0
71,738,3,58,133745.44,0,28373.86,1,1
72,813,1,29,0,0,33953.87,0,0
73,657,2,37,163607.18,1,44203.55,0,0
74,604,3,25,157780.84,1,58426.81,0,0
75,519,1,36,0,1,145562.4,0,0
76,735,1,21,178718.19,0,22388,0,0
77,664,1,55,0,1,139161.64,0,0
78,678,1,32,0,1,148210.64,0,0
79,757,2,33,77253.22,1,194239.63,0,0
80,416,3,41,122189.66,0,98301.61,0,0
81,665,1,34,96645.54,0,171413.66,0,0
82,777,1,32,0,0,136458.19,1,1
83,543,1,36,0,0,26019.59,0,0
84,506,1,34,90307.62,1,159235.29,0,0
85,493,1,46,0,0,1907.66,0,0
86,652,2,75,0,1,114675.75,0,0
87,750,2,22,121681.82,0,128643.35,1,1
88,729,1,30,0,0,151869.35,0,0
89,646,1,46,0,0,93251.42,1,1
90,635,3,28,81623.67,1,156791.36,0,0
91,647,2,44,0,1,174205.22,1,1
92,808,1,45,118626.55,0,147132.46,0,0
93,524,1,36,0,0,109614.57,0,0
94,769,1,29,0,1,172290.61,0,0
95,730,2,42,0,1,85982.47,0,0
96,515,2,35,176273.95,1,121277.78,0,0
97,773,2,41,102827.44,1,64595.25,0,0
98,814,3,29,97086.4,1,197276.13,0,0
99,710,2,22,0,0,99645.04,0,0
100,413,1,34,0,0,6534.18,0,0
101,665,1,40,0,1,161848.03,0,0
102,623,1,44,0,0,167162.43,0,0
103,738,1,31,82674.15,0,41970.72,0,0
104,528,2,36,0,0,60536.56,0,0
105,670,2,65,0,1,177655.68,1,1
106,622,2,46,107073.27,1,30984.59,1,1
107,582,3,32,88938.62,1,10054.53,0,0
108,785,3,36,99806.85,1,36976.52,0,0
109,605,2,33,150092.8,0,71862.79,0,0
110,479,3,35,92833.89,0,99449.86,1,1
111,685,3,30,90536.81,1,63082.88,0,0
112,538,3,39,108055.1,0,27231.26,0,0
113,562,1,42,100238.35,0,86797.41,0,0
114,675,2,36,106190.55,1,22994.32,0,0
115,721,3,28,154475.54,1,101300.94,1,1
116,628,3,30,132351.29,1,74169.13,0,0
117,668,3,37,167864.4,0,115638.29,0,0
118,506,1,41,0,0,31766.3,0,0
119,524,3,31,107818.63,0,199725.39,1,1
120,699,3,34,185173.81,0,120834.48,0,0
121,828,1,34,129433.34,0,38131.77,0,0
122,674,2,39,120193.42,0,100130.95,0,0
123,656,1,39,0,0,141069.88,0,0
124,684,3,48,126384.42,1,198129.36,0,0
125,625,1,28,0,0,183646.41,0,0
126,432,1,42,152603.45,0,110265.24,1,1
127,549,1,52,0,1,8636.05,1,1
128,625,3,56,148507.24,0,46824.08,1,1
129,828,1,41,0,0,171378.77,0,0
130,770,1,24,101827.07,0,167256.35,0,0
131,758,1,34,0,1,124226.16,0,0
132,795,3,33,130862.43,1,114935.21,0,0
133,687,1,38,122570.87,1,35608.88,0,0
134,686,1,25,0,1,16459.37,0,0
135,789,3,39,124828.46,1,124411.08,0,0
136,589,3,50,144895.05,1,34941.23,0,0
137,461,3,34,63663.93,1,167784.28,0,0
138,637,1,40,133463.1,1,93165.34,0,0
139,584,2,48,213146.2,0,75161.25,1,0
140,579,2,35,129490.36,1,8590.83,1,1
141,756,3,44,137452.09,0,189543.9,0,0
142,663,1,34,0,1,180427.24,0,0
143,682,1,43,125851.93,1,193318.33,0,0
144,793,2,52,0,0,159123.82,1,1
145,691,1,31,40915.55,0,126213.84,1,0
146,485,2,21,113157.22,1,54141.5,0,0
147,635,2,29,138296.94,0,141075.51,0,0
148,650,1,37,106967.18,0,24495.03,0,0
149,735,1,44,120681.63,0,74836.34,0,0
150,416,1,32,0,1,878.87,0,0
151,754,2,32,0,0,89520.75,0,0
152,535,1,48,0,0,149892.79,1,1
153,716,2,42,0,0,180800.42,0,0
154,539,1,37,127609.59,0,98646.22,0,0
155,614,1,43,0,1,109041.53,0,0
156,706,2,57,0,0,17941.16,1,1
157,758,1,33,0,0,82996.47,0,0
158,586,2,28,0,1,92067.35,0,0
159,646,1,73,97259.25,1,104719.66,0,0
160,631,3,33,123246.7,0,112687.57,0,0
161,717,2,22,101060.25,1,84699.56,0,0
162,684,1,30,0,0,83473.82,0,0
163,800,1,49,108007.36,0,47125.11,0,0
164,721,2,36,0,1,106977.8,0,0
165,683,2,29,133702.89,0,55582.54,1,1
166,660,3,31,125189.75,1,139874.43,0,0
167,704,3,24,113034.22,0,162503.48,1,1
168,615,2,41,109013.23,0,196499.96,0,0
169,667,2,39,0,0,40721.24,1,1
170,682,3,24,57929.81,0,53134.3,0,0
171,484,1,29,130114.39,0,164017.89,0,0
172,628,3,27,95826.49,0,155996.96,0,1
173,480,3,44,129608.57,0,5472.7,1,1
174,578,1,30,169462.09,0,112187.11,0,1
175,512,1,40,0,1,146457.83,0,0
176,484,2,35,133868.21,1,27286.1,0,0
177,510,1,30,0,1,130553.47,0,0
178,606,3,36,190479.48,0,179351.89,0,0
179,597,2,40,101993.12,1,94774.12,0,0
180,754,3,55,161608.81,0,8080.85,1,1
181,850,2,45,122311.21,1,19482.5,0,0
182,510,1,65,0,1,48071.61,0,0
183,778,3,45,162150.42,0,174531.27,0,0
184,636,1,42,0,1,55470.78,0,0
185,804,1,50,0,1,8546.87,1,1
186,514,1,32,0,0,95857.18,0,0
187,730,1,39,99010.67,0,194945.8,0,0
188,525,2,37,0,1,131521.72,0,0
189,616,2,30,0,1,196108.51,0,0
190,687,3,34,111388.18,0,148564.76,0,0
191,715,1,41,56214.85,0,92982.61,1,1
192,512,1,36,84327.77,0,17675.36,0,0
193,479,1,40,0,0,114996.43,0,0
194,601,1,32,93012.89,0,86957.42,0,0
195,580,2,29,61710.44,0,128077.8,0,0
196,807,1,35,174790.15,1,600.36,0,0
197,616,2,32,0,1,43001.46,0,0
198,721,3,37,107720.64,1,158591.12,0,0
199,501,1,57,0,1,47847.19,0,0
200,521,1,35,96423.84,0,10488.44,0,0
201,850,2,30,141040.01,1,5978.2,0,0
202,759,1,42,105420.18,1,121409.06,0,0
203,516,2,50,0,1,146145.93,1,1
204,711,1,38,129022.06,1,14374.86,1,1
205,512,2,33,176666.62,0,94670.77,0,0
206,550,1,37,0,1,179670.31,0,0
207,608,2,41,89763.84,0,199304.74,1,1
208,618,1,34,134954.53,1,151954.39,0,0
209,643,1,45,0,0,142513.5,1,1
210,671,1,45,106376.85,1,158264.62,0,0
211,689,3,33,161814.64,0,169381.9,0,0
212,603,1,31,0,1,169915.02,0,0
213,620,1,41,0,0,88852.47,0,0
214,676,1,34,63095.01,1,40645.81,0,0
215,572,3,26,118287.01,0,60427.3,0,0
216,668,3,47,106854.21,1,157959.02,1,1
217,695,1,46,49512.55,0,133007.34,0,0
218,730,2,33,0,0,176576.62,0,0
219,807,1,43,105799.32,0,34888.04,1,1
220,592,1,54,0,1,28737.71,1,1
221,726,1,31,114722.05,1,98178.57,0,0
222,514,2,30,0,1,125010.24,0,0
223,567,1,42,0,1,167984.61,0,0
224,850,1,33,0,0,4861.72,1,1
225,671,3,45,99564.22,1,108872.45,1,1
226,670,1,37,170557.91,0,198252.88,0,0
227,694,1,30,0,1,26960.31,0,0
228,547,3,39,74596.15,1,85746.52,1,1
229,751,3,50,96888.39,0,77206.25,1,1
230,594,3,29,130830.22,0,61048.53,0,0
231,673,1,72,0,1,111981.19,0,0
232,610,1,40,0,0,62232.6,0,0
233,512,1,37,0,1,156105.03,0,0
234,767,3,20,119714.25,1,150135.38,0,0
235,585,1,67,113978.97,1,93146.11,0,0
236,763,3,42,100160.75,0,33462.94,1,1
237,712,1,29,0,1,144375,0,0
238,539,3,43,116220.5,0,55803.96,1,1
239,668,1,46,0,0,89048.46,1,1
240,703,1,28,81173.83,1,162812.16,0,0
241,662,2,38,0,0,136259.65,0,0
242,725,3,39,116803.8,0,124052.97,0,0
243,703,1,37,105961.68,1,74158.8,0,0
244,659,3,67,117411.6,1,45071.09,1,1
245,523,2,34,0,0,62030.06,0,0
246,635,1,40,123497.58,0,131953.23,1,1
247,772,3,26,152400.51,0,79414,0,0
248,545,1,26,0,1,199638.56,0,0
249,634,3,24,103097.85,1,157577.29,0,0
250,739,3,54,126418.14,0,134420.75,1,1
251,771,3,36,77846.9,0,99805.99,0,0
252,587,2,34,0,1,97932.68,0,0
253,681,1,79,0,1,170968.99,0,0
254,544,3,37,79731.91,1,57558.95,0,0
255,696,2,28,0,0,176713.47,0,0
256,766,2,41,0,1,34283.23,0,0
257,727,1,34,0,1,198637.34,0,0
258,671,3,34,37266.67,0,156917.12,0,0
259,693,1,30,127992.25,1,50457.2,0,0
260,850,3,38,54901.01,1,140075.55,0,0
261,732,3,42,108748.08,1,65323.11,0,0
262,726,2,48,99906.19,0,64323.24,0,0
263,557,1,32,184686.41,0,14956.44,0,0
264,682,1,26,110654.02,1,111879.21,0,0
265,738,2,31,79019.8,1,18606.23,0,0
266,531,2,36,99240.51,0,123137.01,0,0
267,498,1,34,0,1,148528.24,0,0
268,651,1,36,0,0,13898.31,0,0
269,549,2,39,0,0,81259.25,1,1
270,791,3,35,52436.2,0,161051.75,0,0
271,650,2,41,0,1,191599.67,0,0
272,733,3,34,100337.96,0,48559.19,1,1
273,811,3,34,149297.19,1,186339.74,0,0
274,707,1,30,0,0,33159.37,0,0
275,712,3,28,145605.44,1,93883.53,0,0
276,706,2,37,0,1,110899.3,0,0
277,756,1,62,0,1,11199.04,1,1
278,777,1,53,0,0,189992.97,0,0
279,646,1,35,84026.86,1,164255.69,0,0
280,714,1,46,0,0,152167.79,1,1
281,782,1,39,0,1,33949.67,0,0
282,775,2,29,0,1,68143.93,0,0
283,479,3,35,138718.92,1,47251.79,1,1
284,807,1,42,118274.71,1,25885.72,0,0
285,799,1,22,174185.98,1,192633.85,0,0
286,675,1,40,113208.86,0,34577.36,0,0
287,602,2,29,103907.28,0,161229.84,0,0
288,475,1,32,119023.28,0,100816.29,0,0
289,744,2,26,166297.89,1,181694.44,0,0
290,588,2,34,0,0,79078.91,0,0
291,703,3,42,63227,1,137316.32,0,0
292,747,2,41,94521.17,0,194926.86,0,0
293,583,1,27,0,0,51285.49,0,0
294,750,2,34,112822.26,0,150401.53,1,1
295,681,1,38,0,1,112491.96,0,0
296,773,1,25,135903.33,0,73656.38,0,0
297,714,1,31,125169.26,1,106636.89,0,0
298,687,2,44,0,0,155853.52,1,1
299,511,1,58,149117.31,1,162599.51,0,0
300,627,1,33,0,1,103737.82,0,0
301,694,1,31,0,0,160990.27,0,0
302,616,2,36,132311.71,0,15462.84,0,0
303,687,1,35,0,0,10334.05,0,0
304,712,1,33,0,1,190686.16,0,0
305,553,1,33,118082.89,0,94440.45,0,0
306,667,1,31,119266.69,1,28257.63,0,0
307,731,1,43,0,1,170034.95,1,1
308,629,3,35,156847.29,0,31824.29,0,0
309,614,1,50,137104.47,0,127166.49,1,1
310,438,3,31,78398.69,0,44937.01,0,0
311,652,1,80,0,1,188603.07,0,0
312,729,3,30,63669.42,0,145111.37,0,0
313,642,1,38,0,0,171463.83,0,0
314,806,3,59,135296.33,0,182822.5,0,0
315,744,2,36,153804.44,1,87213.33,0,0
316,474,2,37,0,0,57175.32,0,0
317,559,1,49,147069.78,0,120540.83,1,1
318,706,2,42,0,1,28714.34,0,0
319,628,2,22,0,0,85426.28,0,0
320,429,1,24,95741.75,0,46170.75,0,0
321,525,2,57,145965.33,1,64448.36,0,0
322,680,1,30,141441.75,1,16278.97,0,0
323,749,1,40,139290.41,0,182855.42,1,1
324,763,1,31,0,0,50404.72,0,0
325,734,1,30,0,0,107640.25,0,0
326,716,1,35,144428.87,0,134132.65,0,0
327,594,1,35,0,0,103480.69,0,0
328,644,1,46,95441.27,0,108761.05,1,1
329,671,3,35,144848.74,1,179012.3,0,0
330,664,3,26,116244.14,1,95145.14,0,0
331,656,1,50,0,1,72143.44,0,0
332,667,2,40,146502.07,0,19162.89,0,0
333,663,3,44,117028.6,1,144680.18,0,0
334,584,3,30,112013.81,0,177772.03,1,1
335,626,2,37,108269.37,0,5597.94,0,0
336,485,1,29,182123.79,0,116828.51,1,1
337,659,3,32,150923.74,1,174652.51,0,0
338,649,1,33,0,0,2010.98,0,0
339,805,2,39,165272.13,0,14109.85,1,1
340,716,3,39,115301.31,0,43527.4,1,1
341,642,3,40,129502.49,1,86099.23,1,1
342,659,1,31,118342.26,0,161574.19,0,0
343,545,2,47,0,1,38970.14,0,0
344,543,1,22,0,0,127587.22,0,0
345,718,1,25,0,0,30380.12,0,0
346,840,1,43,0,0,90908.95,0,0
347,630,3,34,106937.05,0,138275.01,0,0
348,643,3,59,170331.37,1,32171.79,0,0
349,654,3,32,114510.85,1,126143.23,0,0
350,582,1,39,0,1,129892.93,0,0
351,659,2,32,107594.11,1,102416.84,0,0
352,762,2,39,81273.13,1,18719.67,0,0
353,568,2,32,169399.6,0,61936.22,0,0
354,670,2,25,0,1,78358.94,0,0
355,613,1,45,187841.99,1,147224.27,0,0
356,539,1,30,0,0,160979.66,0,0
357,850,2,57,126776.3,1,132298.49,0,0
358,522,2,34,126436.29,0,174248.52,1,1
359,737,1,41,101960.74,1,123547.28,0,0
360,520,1,58,0,1,32790.02,0,0
361,706,2,28,0,1,181543.67,0,0
362,643,3,45,150842.93,1,2319.96,1,1
363,648,1,50,102535.57,1,189543.19,0,0
364,443,3,29,99027.61,0,10940.4,0,0
365,640,1,68,0,1,199493.38,0,0
366,628,2,33,0,1,188193.25,0,0
367,540,3,42,87271.41,0,172572.64,0,0
368,460,3,35,102742.91,1,189339.6,0,0
369,636,3,34,40105.51,1,53512.16,0,0
370,593,1,29,152265.43,0,34004.44,0,0
371,801,2,42,141947.67,1,10598.29,0,0
372,640,3,75,106307.91,1,113428.77,0,0
373,611,3,31,107884.81,1,183487.98,0,0
374,802,3,31,125013.72,1,187658.09,0,0
375,717,3,35,58469.37,1,172459.39,0,0
376,769,1,39,0,1,21016,0,0
377,745,3,45,117231.63,1,122381.02,1,1
378,572,2,35,152390.26,0,128123.66,0,0
379,629,2,30,34013.63,0,19570.63,0,0
380,687,2,39,0,0,188150.6,1,1
381,483,1,50,0,1,111020.24,0,0
382,690,1,36,101583.11,0,123775.15,0,0
383,492,3,30,77168.87,1,146700.22,0,0
384,709,3,28,124695.72,0,145251.35,0,0
385,705,3,44,105934.96,0,82463.69,0,0
386,560,1,66,0,1,15928.49,0,0
387,611,2,46,0,0,45886.33,0,0
388,730,2,62,0,1,186489.95,0,0
389,709,2,45,0,1,162922.65,0,0
390,544,1,21,161525.96,0,9262.77,0,0
391,712,3,29,147199.07,1,84932.4,0,0
392,752,3,38,183102.29,1,71557.12,0,0
393,648,2,46,127209,0,77405.95,1,1
394,556,2,38,0,0,417.41,1,1
395,594,2,24,97378.54,1,71405.17,0,0
396,645,3,37,136925.09,1,153400.24,0,0
397,557,1,33,54503.55,1,371.05,0,0
398,547,3,32,155726.85,0,67789.99,0,0
399,701,1,39,0,1,145894.9,0,0
400,616,1,66,135842.41,0,183840.51,1,1
401,605,1,52,63349.75,0,108887.44,0,0
402,593,3,38,129499.42,1,154071.27,0,0
403,751,2,52,0,1,179291.85,0,0
404,443,2,36,70438.01,1,56937.43,0,0
405,685,1,23,0,1,112239.03,0,0
406,718,1,36,0,0,45909.87,0,0
407,538,2,49,141434.04,0,173779.25,1,1
408,611,2,37,0,0,125696.26,0,0
409,668,3,37,152958.29,1,159585.61,0,0
410,537,3,41,138306.34,0,106761.47,0,0
411,709,2,23,0,0,129590.18,0,0
412,850,1,38,0,1,80006.65,0,0
413,745,2,31,124328.84,1,140451.52,0,0
414,693,3,41,181461.48,1,187929.43,1,1
415,795,2,35,0,0,167155.36,0,0
416,626,2,26,0,0,191420.71,0,0
417,487,3,61,110368.03,0,11384.45,1,1
418,556,1,39,89588.35,1,94898.1,0,0
419,643,1,46,0,0,106781.59,0,0
420,605,1,28,0,0,159508.52,0,0
421,756,3,60,115924.89,0,93524.19,1,1
422,586,1,38,0,0,87168.46,0,0
423,535,3,40,111756.5,0,8128.32,1,1
424,678,1,35,0,0,125518.32,0,0
425,596,1,39,0,0,48963.59,0,0
426,648,1,26,162923.85,0,98368.24,0,0
427,492,3,39,124576.65,0,148584.61,0,0
428,702,1,45,80793.58,1,27474.81,0,0
429,486,3,40,71340.09,0,76192.21,0,0
430,568,3,40,99282.63,0,134600.94,1,1
431,619,3,57,137946.39,1,72467.99,1,1
432,724,3,41,127892.57,1,199645.45,0,0
433,548,3,33,101084.36,0,42749.85,0,0
434,545,3,37,114754.08,0,136050.44,1,1
435,683,1,33,0,0,73564.44,0,0
436,762,1,51,99286.98,1,85578.63,0,0
437,627,3,30,79871.02,0,129826.89,0,0
438,516,1,35,104088.59,0,119666,0,0
439,800,1,38,168190.33,0,68052.08,0,0
440,464,3,42,85679.25,1,164104.74,0,0
441,626,1,35,0,0,80190.36,0,0
442,790,1,31,0,0,84126.75,0,0
443,534,1,34,121551.58,1,70179,0,0
444,745,1,46,122220.19,1,118024.1,0,0
445,553,2,47,116528.15,0,145704.19,1,1
446,748,1,26,77780.29,1,183049.41,0,0
447,722,1,37,0,0,120906.83,0,0
448,501,1,40,125832.2,1,100433.83,0,0
449,675,1,38,68065.8,0,138777,1,1
450,778,2,47,127299.34,0,124694.99,0,0
451,494,3,38,174937.64,0,40084.32,0,0
452,850,1,40,0,1,119232.33,0,0
453,592,2,31,110071.1,0,43921.36,0,0
454,590,2,44,139432.37,0,62222.81,0,0
455,758,1,39,127357.76,1,56577,0,0
456,506,1,36,0,0,164253.35,0,0
457,733,1,33,0,1,7666.73,0,0
458,711,1,38,0,0,68487.51,0,0
459,514,3,43,95556.31,1,199273.98,1,1
460,637,2,37,0,1,186062.36,0,0
461,468,3,29,111681.98,1,195711.16,0,0
462,539,1,39,0,0,36692.17,0,0
463,509,2,25,108738.71,0,106920.57,0,0
464,662,1,32,133950.37,1,48725.68,1,1
465,818,2,26,0,1,167036.94,0,0
466,608,1,33,89968.69,0,68777.26,0,0
467,850,2,32,0,1,18924.92,0,0
468,816,3,38,130878.75,0,71905.77,1,1
469,536,1,35,0,0,64833.28,0,0
470,753,1,35,0,1,184843.77,0,0
471,631,2,27,134169.62,1,176730.02,0,0
472,703,1,37,149762.08,0,20629.4,1,1
473,774,1,26,93844.69,0,28415.36,0,0
474,785,1,28,0,0,77231.27,0,0
475,571,1,33,0,0,102750.7,0,0
476,621,3,46,141078.37,0,34580.8,1,1
477,605,3,31,117992.59,1,183598.77,0,0
478,611,1,40,100812.33,0,147358.27,0,0
479,569,1,38,0,1,108469.2,0,0
480,658,1,29,80262.6,1,20612.82,0,0
481,788,2,34,156478.62,1,181196.76,0,0
482,525,1,23,0,0,160249.1,0,0
483,798,1,37,0,0,110783.28,0,0
484,486,3,37,115217.99,0,144995.33,0,0
485,615,2,61,0,0,150227.85,1,1
486,730,1,35,155470.55,1,53718.28,0,0
487,641,1,37,0,0,75248.3,0,0
488,542,1,39,135096.77,1,14353.43,1,1
489,692,1,30,0,1,130486.57,0,0
490,714,3,55,180075.22,1,100127.71,0,0
491,591,2,29,97541.24,1,196356.17,0,0
492,710,1,41,156067.05,1,9983.88,0,0
493,639,1,38,81550.94,1,118974.77,0,0
494,531,1,47,0,0,194998.34,1,1
495,673,1,38,170061.92,0,134901.34,1,1
496,765,3,36,92310.54,1,72924.56,0,0
497,622,1,32,169089.38,0,101057.95,0,0
498,806,1,40,80613.93,1,142838.64,0,0
499,757,3,26,121581.56,1,127059.04,0,0
500,570,1,58,0,1,116503.92,1,1
501,555,2,32,0,1,54405.79,0,0
502,692,1,54,0,1,88721.84,0,0
503,774,1,60,85891.55,0,74135.48,1,1
504,638,2,44,77637.35,1,111346.22,0,0
505,543,2,41,0,0,194902.16,0,0
506,584,1,31,0,0,31474.27,0,0
507,691,3,30,116927.89,0,21198.39,0,0
508,684,3,40,137326.65,0,186976.6,0,0
509,733,1,22,0,1,117202.19,0,0
510,599,2,37,0,1,143739.29,0,0
511,524,3,31,67238.98,1,161811.23,0,0
512,632,3,38,86569.76,0,98090.91,0,0
513,735,2,34,0,0,71095.41,0,0
514,734,1,34,133598.4,1,13107.24,0,0
515,605,1,51,136188.78,1,67110.59,1,1
516,793,2,38,0,0,88225.02,0,0
517,468,1,56,0,1,62256.87,1,1
518,779,3,37,120092.52,0,135925.72,0,0
519,698,1,48,101238.24,1,177815.87,1,1
520,707,1,58,89685.92,1,126471.13,0,0
521,850,1,35,211774.31,0,188574.12,1,1
522,850,1,56,131317.48,1,119175.45,0,0
523,527,2,37,93722.73,1,139093.73,0,0
524,696,3,32,101160.99,1,115916.55,0,0
525,661,1,48,120320.54,0,96463.25,0,0
526,776,1,31,0,1,112349.51,0,0
527,701,1,43,0,1,165303.79,0,0
528,610,1,26,0,0,166031.08,0,0
529,572,3,48,152827.99,0,38411.79,1,1
530,673,1,30,64097.75,1,77783.35,0,0
531,519,2,57,119035.35,1,29871.79,0,0
532,702,2,26,135219.57,1,59747.63,0,0
533,729,1,32,93694.42,1,79919.13,0,0
534,543,2,35,59408.63,0,76773.53,0,0
535,550,1,40,114354.95,0,54018.93,0,0
536,608,1,59,0,0,70649.64,1,1
537,639,3,35,128173.9,0,59093.39,0,0
538,686,2,34,0,0,127569.8,0,0
539,564,3,62,114931.35,1,18260.98,1,1
540,745,3,28,111071.36,0,73275.96,1,1
541,833,1,37,151226.18,1,136129.49,0,0
542,622,1,26,0,1,153237.59,0,0
543,597,1,42,64740.12,1,106841.12,0,0
544,721,2,51,169312.13,0,109078.35,1,1
545,504,1,49,0,1,87822.14,1,1
546,842,2,44,112652.08,0,126644.98,0,0
547,587,1,38,0,0,47414.15,0,0
548,479,3,30,143964.36,0,41879.99,0,0
549,508,1,49,122451.46,1,75808.1,0,0
550,749,1,24,0,1,47911.03,0,0
551,721,3,36,65253.07,0,28737.78,0,0
552,674,3,47,106901.94,1,2079.2,1,1
553,685,2,25,128509.63,0,121562.33,0,0
554,417,1,34,0,0,55003.79,0,0
555,574,3,33,129834.67,0,193131.42,0,0
556,590,2,51,154962.99,1,191932.27,1,1
557,587,3,40,138241.9,0,159418.1,0,0
558,598,3,41,91536.93,0,191468.78,1,1
559,741,2,53,0,1,38913.68,0,0
560,850,2,70,0,1,705.18,0,0
561,584,3,29,105204.01,1,138490.03,0,0
562,650,2,61,152968.73,1,82970.69,0,0
563,607,2,36,158261.68,1,76744.72,0,0
564,509,1,46,0,0,71244.59,1,1
565,689,2,38,121021.05,1,12182.15,0,0
566,543,1,36,0,1,141210.5,0,0
567,438,2,54,0,0,191763.07,1,1
568,687,2,63,137715.66,1,37938.74,0,0
569,737,3,31,121192.22,1,74890.58,0,0
570,761,1,31,0,1,166698.18,0,0
571,601,1,44,100486.18,1,62678.53,0,0
572,651,1,45,0,0,67740.08,1,1
573,745,1,35,92566.53,0,161519.77,0,0
574,648,2,49,0,1,159835.78,1,1
575,848,2,40,110929.96,1,30876.84,0,0
576,546,1,27,0,1,14858.1,0,0
577,439,2,32,138901.61,0,75685.97,0,0
578,755,1,30,123217.66,1,144183.1,0,0
579,593,1,41,0,0,65170.66,0,0
580,701,1,39,0,1,82526.92,0,0
581,701,2,36,0,0,169161.46,0,0
582,607,2,33,108431.87,1,109291.39,1,1
583,586,2,57,0,1,6057.81,0,0
584,547,3,30,72392.41,0,77077.14,0,0
585,647,3,51,119741.77,0,54954.51,1,1
586,760,1,51,100946.71,0,179614.8,1,1
587,621,2,53,170491.84,0,35588.07,1,1
588,725,1,44,0,1,117356.14,0,0
589,526,1,36,0,0,160696.72,0,0
590,519,2,47,157296.02,0,147278.43,1,1
591,713,3,38,144606.22,1,56594.36,1,1
592,700,1,38,134811.3,0,1299.75,0,0
593,666,1,34,115897.12,1,25095.03,0,0
594,630,2,32,82034,0,146326.45,0,0
595,779,2,26,174318.13,1,38296.21,0,0
596,611,3,41,114206.84,0,164061.6,0,0
597,685,2,43,0,0,107811.28,0,0
598,646,3,39,111574.41,1,30838.51,0,0
599,683,3,57,162448.69,0,9221.78,1,1
600,484,3,34,148249.54,1,33738.27,0,0
601,601,1,43,0,1,110916.15,1,1
602,762,2,26,123709.46,1,169654.57,0,0
603,687,1,72,0,1,69829.4,0,0
604,566,1,30,0,0,54926.51,1,1
605,702,1,37,150525.8,1,94728.49,0,0
606,601,1,29,0,1,80393.27,0,0
607,699,1,53,0,1,111307.98,0,0
608,584,1,28,0,0,19834.32,0,0
609,699,1,35,0,1,78397.24,0,0
