battery_power,mobile_wt,px_height,px_width,ram
640,163,710,1179,2844
1526,117,718,751,2227
1989,94,1100,1497,1665
1308,106,59,1215,3355
609,93,938,1948,1866
1905,119,825,1542,1287
1703,192,286,1235,1046
1445,173,1273,1345,1441
1087,166,295,589,690
671,105,852,1182,2504
1472,168,710,1052,2677
765,115,1277,1429,2243
1642,171,129,873,2984
1265,182,690,836,1362
664,110,701,1478,3629
1277,142,309,1460,3559
1395,111,213,705,2571
1539,159,1112,1666,2107
1049,135,199,1077,1022
1827,128,55,1020,2844
903,91,1230,1235,711
1987,181,1052,1516,3117
1154,181,541,1499,978
1336,194,55,583,1869
1886,112,809,1958,1179
1551,88,1738,1995,3844
850,133,404,642,593
660,111,262,1178,588
1225,116,759,1404,3836
1452,123,42,1040,2669
1686,166,397,1453,2958
1634,200,964,1677,3031
1708,109,233,517,3388
1151,128,1022,1560,2377
1578,138,411,1226,2458
1689,127,954,1200,2766
1488,112,1528,1647,3054
1313,105,416,1308,3791
1715,83,638,1615,625
1442,192,231,687,2227
528,142,574,637,3256
1523,129,148,1606,707
1133,199,730,1543,1457
1718,183,564,980,3755
1330,183,1290,1441,1733
1799,107,632,1383,720
633,139,529,1009,3560
724,187,1273,1754,2311
822,157,667,860,3846
1918,110,1170,1543,1717
1891,129,169,1108,3704
1373,127,105,673,3800
862,165,793,1758,278
1273,99,490,886,1767
957,107,1201,1485,1846
1617,105,246,1038,829
893,183,417,946,2986
1210,93,1177,1462,2394
708,195,78,654,2169
835,101,323,1604,1181
1450,131,707,1882,575
973,190,457,1816,2977
601,154,356,765,532
507,141,936,1398,1702
564,168,912,1980,1074
1559,162,179,1559,3352
754,178,1914,1928,1027
728,88,526,1529,2039
1431,191,156,952,461
767,175,344,1517,527
1722,177,865,1741,3271
1992,100,1552,1596,606
1876,86,546,1564,2513
1054,136,1097,1222,1675
1283,93,372,692,2698
1281,148,1285,1617,1129
1066,114,1242,1571,468
730,89,302,1247,1210
1053,103,594,1767,3086
1611,98,303,714,1595
793,133,1858,1935,2332
1220,125,403,1933,2589
1662,126,32,1509,3760
1281,144,590,954,1851
538,177,235,662,417
823,187,630,888,294
1733,119,357,527,3576
1429,100,246,820,3945
1839,200,475,1493,927
659,110,1054,1929,2044
1953,158,555,764,2334
1172,164,607,1092,1477
612,102,1360,1891,3161
1563,170,142,1699,3660
1191,84,681,683,1604
615,163,104,1664,2211
1893,134,637,763,3822
1563,151,410,572,3922
1995,139,1830,1963,1203
1517,143,802,1489,2822
832,108,311,1294,447
1162,114,56,997,1652
1595,121,344,655,3608
1329,181,1053,1458,1228
928,80,221,1243,666
1656,105,506,519,1499
1937,189,1728,1767,3321
977,181,63,566,1206
768,113,418,515,952
1464,117,854,1168,3927
1177,191,178,882,311
1348,98,1869,1942,955
1956,87,185,776,1109
1751,178,170,564,2969
1530,177,454,1975,725
1997,185,866,1212,1655
1414,180,44,1118,3490
1707,80,1331,1388,1774
894,199,1285,1462,3615
645,184,741,1130,714
1163,155,520,754,2768
1126,165,114,1726,3739
1648,170,1153,1876,610
1170,199,474,709,715
508,94,39,557,663
1097,161,419,1914,1725
728,101,584,775,834
1980,177,312,1910,3865
1504,182,19,1923,3059
1379,83,207,1370,651
1698,160,363,994,796
920,115,209,1078,785
1144,189,159,724,3252
1995,129,649,1104,1322
1430,183,1132,1182,2832
972,193,1392,1795,1615
662,138,1001,1224,2125
1867,191,712,1442,990
1730,143,418,1023,1595
1723,126,384,1361,1213
1882,140,119,652,2500
803,106,627,935,2801
580,91,1086,1345,3451
668,114,195,1292,1201
1391,182,14,1256,3139
1560,169,745,1364,1938
821,109,253,1786,3185
811,106,333,1429,2111
1989,193,629,682,2369
1034,120,707,1199,3625
618,86,1314,1688,1051
654,196,1715,1898,1036
576,184,513,1438,2938
667,185,13,1463,2855
869,118,1243,1584,2727
635,149,300,1059,2973
609,117,58,1253,2581
1557,123,1107,1442,2690
1604,191,134,939,916
1182,138,275,986,2563
848,148,176,1029,3359
1610,181,1236,1280,941
1828,199,336,898,2280
880,194,1116,1381,827
1394,175,1010,1565,473
1960,86,205,1299,3865
809,91,1453,1726,1274
899,172,788,1331,364
1976,171,1301,1922,3699
879,187,463,1038,2927
916,195,188,992,1470
763,92,1028,1186,1050
508,162,1419,1920,2616
825,99,1471,1866,2915
1864,178,168,981,2686
1725,185,1125,1195,1243
1108,183,130,1706,3264
1011,131,481,749,2261
1703,138,1411,1711,2993
1067,135,79,681,706
1334,115,1187,1974,2542
775,189,561,1510,2523
1899,151,96,814,336
930,97,77,1025,2457
1058,166,493,1247,418
1187,145,1173,1814,3917
1874,166,964,1233,1246
1482,142,634,642,2971
1809,174,639,721,2324
864,187,127,1670,3121
625,191,431,550,3801
1880,138,71,699,3333
1138,187,111,1138,3475
560,146,356,1903,2360
1117,144,798,817,2895
1712,137,747,1126,3652
1836,134,408,1139,3097
1036,119,373,926,2101
1860,162,1362,1506,3918
1375,145,475,726,3869
1945,195,743,1753,732
1896,141,447,794,3684
788,91,42,1161,3969
880,173,30,1350,1414
1323,131,162,619,1892
1868,169,347,660,3131
1266,184,346,1468,2532
1042,93,727,1705,3215
1479,156,180,1476,3323
1476,171,1641,1666,1529
1552,123,269,1026,2403
1454,83,250,1033,3419
1007,95,1186,1529,3648
652,173,77,559,1974
1504,142,507,973,2806
1726,193,379,1223,2239
1029,171,264,956,582
1582,112,1486,1797,3890
1478,99,694,882,1141
1178,101,579,596,2511
707,131,495,574,3838
755,186,315,990,2734
912,161,329,1053,2330
651,176,548,858,2244
1483,176,531,758,1851
914,100,191,1495,808
1456,105,823,1104,1587
1178,84,96,1352,2492
1503,166,841,1304,2122
1681,158,195,1205,1122
715,160,21,562,3709
1876,182,235,585,3021
1190,186,1417,1441,624
1755,134,286,1075,3937
1197,149,649,1629,1797
1048,194,966,1975,1458
1887,126,1172,1798,3348
1772,116,270,545,1834
1421,165,781,1657,2775
1464,153,418,1341,1277
728,111,126,817,457
954,134,228,1058,438
685,82,1091,1203,3210
1472,130,1452,1744,985
853,200,674,740,3701
1469,123,398,1133,1052
1310,135,449,889,1175
1654,146,1184,1719,1070
902,134,675,1285,3411
1448,156,1792,1850,1175
1631,198,177,1905,301
1608,183,1013,1158,489
1991,145,1058,1325,1733
1349,114,592,772,2756
1589,195,810,1743,2612
1844,158,533,882,1724
712,84,558,1208,2190
972,107,681,1050,1900
1406,98,1017,1366,3915
1289,178,765,899,1043
932,154,1176,1224,3817
1747,94,947,1131,2362
1172,95,1314,1884,1107
1128,84,609,1370,2982
664,106,754,1497,2042
513,186,619,867,1343
1742,170,453,681,2610
1512,162,205,884,2335
1986,165,282,1358,1614
965,109,130,998,1138
1067,122,494,1989,604
1583,118,275,862,3652
1653,176,447,1785,3955
1433,133,281,799,258
765,153,6,793,1066
1845,96,292,695,1731
752,87,164,728,3860
1948,100,631,1940,3630
1077,174,897,1304,1965
932,104,268,1078,1459
1968,115,861,1259,2323
1122,120,331,790,3291
1588,159,1064,1594,3272
601,101,509,548,918
1615,132,622,1256,3488
1589,128,957,1911,3961
1417,114,494,1649,590
1697,95,236,1264,3701
1330,83,980,1262,463
1476,148,1789,1972,3644
1579,142,831,1484,1713
1277,200,902,1090,429
1089,145,636,1259,2765
1663,169,831,1439,2084
1949,186,518,592,1125
1138,109,233,1777,2048
685,174,725,870,1223
1889,132,170,1106,3672
857,195,157,948,3100
1902,124,1142,1393,343
1225,155,840,982,1970
1066,131,401,1586,2728
1554,124,395,1579,3635
1337,186,48,644,2180
1926,172,982,1157,2488
869,104,478,539,3864
1278,104,581,750,1155
1773,170,1215,1472,3566
1661,109,594,1337,864
1438,176,683,1663,869
1661,119,536,861,591
1846,159,83,773,1333
1260,123,905,1313,2208
512,83,249,1849,2610
581,185,803,1613,2819
1872,134,459,1259,1955
687,151,584,1151,3416
1062,160,1596,1807,3803
1678,192,418,1763,574
1417,166,364,1029,2129
1074,103,946,952,1948
1832,90,186,654,2978
1039,200,1428,1827,1619
1059,134,1613,1916,3716
1606,154,1127,1924,3454
1928,187,691,1580,3777
1875,91,1802,1942,2712
1128,135,751,1582,1434
1748,146,859,1234,3968
1413,117,187,517,3383
825,86,206,1917,3278
1589,100,1673,1759,3970
535,145,710,939,2674
1780,190,1331,1463,2776
1671,129,263,848,2336
1821,114,97,1803,2430
1076,119,129,915,891
532,193,1213,1354,728
777,148,189,1143,3886
1217,182,628,632,1711
1656,117,320,899,2856
1185,152,837,1642,2447
577,161,1087,1450,814
737,193,781,1463,2951
704,186,251,1013,3653
525,137,262,1587,1891
504,166,767,1665,701
793,176,1226,1815,3139
569,184,389,739,2811
1590,160,920,963,1701
707,194,1027,1508,1853
767,185,271,1000,2445
1350,181,369,544,2287
1117,146,1258,1627,2003
641,192,417,759,3595
1002,83,1345,1416,1726
1408,89,613,1088,3952
1900,190,912,1596,850
726,101,666,760,1446
1544,113,236,857,1300
1454,160,186,1100,719
1230,123,416,676,988
1552,180,430,658,2606
1519,200,168,1239,2912
723,102,1467,1901,2339
1191,169,179,1813,1028
1168,90,159,1578,3173
1229,191,120,1878,1667
1758,190,762,1864,1897
1290,143,600,1109,1214
574,90,286,1171,3269
1271,113,1350,1949,445
1170,83,27,1722,1073
1269,118,1597,1920,665
1288,121,1177,1809,3129
1366,150,402,964,3501
1572,169,577,1237,3461
1627,180,52,1082,3206
1701,115,364,828,3717
1900,171,934,1241,3917
1974,80,250,545,861
1197,129,214,1710,2885
587,170,612,1793,2777
934,112,1111,1463,1017
1195,82,163,1100,980
1853,92,202,1951,2775
1164,95,729,1704,3309
1512,88,1079,1897,3607
1232,169,361,809,1257
1813,198,338,1306,759
946,166,1698,1771,3720
739,88,1052,1536,475
704,80,1108,1509,1122
1663,147,951,1545,1336
1966,185,1197,1987,1185
1219,196,473,1022,705
612,181,1294,1337,3169
1658,182,410,522,3483
1263,175,178,1883,1183
1395,118,782,1787,3373
621,151,434,910,2801
652,142,464,781,565
1175,145,137,1501,3153
561,163,492,1176,3421
1137,173,1250,1285,316
1835,193,385,583,448
1170,169,427,684,2366
1595,85,1024,1838,3881
1719,122,240,904,462
1770,128,886,1552,1480
1312,163,1233,1854,1087
1878,139,183,559,2711
1871,81,88,1682,2144
922,188,1016,1383,1165
1975,128,80,655,2998
1212,102,611,1715,2249
1430,179,569,906,752
1958,190,304,637,1409
1836,184,276,1230,3072
557,125,1131,1315,1305
539,145,551,599,3597
880,172,436,1302,3132
1369,162,553,727,3856
1109,98,1391,1787,1524
843,166,981,1096,3673
598,196,680,1173,3293
972,126,687,816,3035
1944,197,1060,1970,584
1225,138,217,1101,2675
644,114,1140,1654,2382
1919,150,304,1191,1391
501,131,504,1089,2346
1620,185,832,1033,606
1227,130,935,1781,1324
1359,107,446,901,1076
1914,118,942,1701,643
1645,123,897,1308,783
1063,101,1208,1232,3809
946,154,159,630,2104
1231,185,632,1184,1762
1397,87,1308,1991,3137
701,160,1002,1256,1756
570,111,1331,1917,3663
1993,147,150,510,2437
955,143,1248,1511,1432
924,167,108,1813,1620
600,112,320,747,1655
518,178,437,1947,2832
1063,95,295,935,961
920,149,1058,1421,2608
1715,171,79,1652,514
1841,167,593,672,2304
543,132,693,1031,933
1762,189,300,527,1896
1112,121,234,739,3655
709,136,1545,1596,1973
1315,128,59,575,3278
1762,107,1103,1364,2183
1462,182,91,1478,824
571,186,177,1282,2598
666,81,58,1353,1254
1994,146,447,1435,3622
1583,148,942,1651,1704
1778,132,88,516,1624
1926,179,371,1000,3809
966,117,1446,1754,2574
568,179,181,1703,950
1897,192,1311,1935,273
1695,200,1791,1898,446
1623,120,1568,1832,1510
914,147,706,721,1122
1721,128,871,1048,707
890,198,1074,1873,751
600,191,501,1465,3393
1677,124,271,1477,3771
723,168,920,1748,1851
638,102,1171,1383,2735
852,104,293,1159,2253
1979,165,833,1630,452
710,151,485,857,1419
1034,190,182,1293,969
600,145,207,1162,3441
1027,103,1698,1747,3786
1260,106,165,736,2710
1793,169,1086,1418,3533
675,144,192,757,1735
658,103,1156,1750,3587
1694,102,377,549,2298
804,89,709,818,2027
1713,127,729,974,2406
706,108,543,938,2419
1362,131,553,1505,995
1527,154,526,1116,2078
768,159,637,991,1145
1314,155,113,577,626
705,155,1114,1374,1509
1403,164,461,1251,3371
1486,85,1430,1747,297
781,198,304,1674,3508
986,183,471,800,2385
1310,105,806,1016,1301
560,81,80,1327,2167
1348,116,204,501,3914
1567,119,545,1621,2312
1940,93,112,858,2297
1979,176,1331,1532,411
561,193,1055,1294,665
1717,130,609,810,3226
535,113,290,811,740
1413,185,1039,1318,3878
1358,135,1485,1655,3406
1519,112,1122,1702,2440
1254,108,462,1013,3959
1591,154,1384,1883,3703
977,165,1502,1862,3714
1640,169,589,1301,337
663,183,82,1605,3176
1744,112,68,718,1205
1624,150,689,699,2473
1108,169,208,1742,1229
1188,114,1339,1558,2896
817,144,722,766,2039
863,133,717,1799,520
1397,121,433,1658,1378
1108,140,1298,1666,3254
1068,184,186,1998,1803
1702,145,1397,1491,2501
808,192,618,1891,3762
1156,89,1214,1262,1796
1271,159,613,650,990
696,197,649,907,2630
1981,175,193,1234,1380
614,128,22,519,3487
1590,122,1464,1595,1201
1945,113,280,895,3015
1135,158,690,1589,3204
1049,172,39,1564,433
1807,125,337,1384,1906
984,98,1036,1611,898
720,96,1347,1733,2799
1536,105,22,1634,2020
771,86,327,922,770
503,185,778,1291,305
675,187,482,874,2953
1936,182,591,1089,1671
1303,138,229,1604,2574
1004,141,901,1162,3772
1972,102,715,1648,2870
1822,195,172,910,2577
1159,83,681,723,2246
1782,157,867,999,2405
894,168,286,1300,3377
1884,185,451,819,3619
1648,142,1119,1238,1184
798,96,526,643,2965
802,157,1299,1633,3713
1276,130,217,735,3798
1331,165,1109,1226,1026
1620,186,434,1339,1086
1996,122,671,1445,2236
1092,185,1404,1424,1303
1018,155,856,883,3048
545,131,381,1452,616
554,105,85,806,3764
1264,171,562,849,419
1030,138,1111,1812,2858
1432,164,209,947,504
558,142,997,1605,392
829,129,91,1916,820
1741,143,730,1895,3387
1849,144,606,1123,3447
733,174,445,1409,1403
1872,80,286,1484,2295
1853,197,985,1005,1973
1149,106,1617,1675,3755
891,196,375,1724,2073
1911,163,1795,1958,3872
550,145,486,1930,302
576,121,757,1518,1519
1760,198,273,1704,2549
969,124,491,589,404
1160,166,762,859,595
827,160,448,821,1663
1786,161,231,1671,2764
774,136,1713,1865,2614
819,83,438,822,1094
1042,139,68,1018,2826
1368,97,698,829,2496
1592,181,510,522,2103
1067,146,965,1009,966
1892,110,1399,1564,2172
915,187,532,1448,905
774,124,8,896,3916
1848,179,154,605,3902
1501,187,198,1056,2487
1614,188,860,1330,3914
911,181,461,670,363
1520,199,109,1909,3233
1647,102,193,1185,2532
1347,108,961,1008,3836
967,92,243,1642,3076
1442,145,1626,1668,1513
1204,199,480,1482,1724
1320,144,123,1229,542
1800,100,400,823,3481
1567,153,190,1326,3991
1439,147,626,932,1790
1422,112,1,926,509
1591,161,548,1641,282
880,198,632,660,3006
1929,163,349,1051,1913
1642,102,1686,1889,1333
1511,114,1455,1982,3746
1312,163,95,893,3941
1852,196,580,1163,3970
972,82,297,589,3925
691,108,951,962,424
807,158,667,697,1284
1113,145,1047,1312,277
721,125,408,1862,1713
1188,198,1150,1469,485
1512,131,333,952,3002
805,97,641,704,418
918,123,653,671,1652
1320,168,103,1583,2893
1236,188,517,809,1406
1387,98,785,1151,629
1883,95,531,791,3724
839,175,564,1391,3835
1593,130,761,1336,1354
1722,88,1179,1638,2376
1954,126,673,690,3438
1788,150,472,1073,2655
1628,101,412,643,3361
1965,84,977,1660,3535
833,124,359,1395,2150
571,141,224,783,2587
1808,92,714,1208,2736
1860,83,195,799,676
1368,115,843,1145,2941
1161,126,308,1169,3336
1224,157,522,563,3796
902,122,364,1360,3654
787,93,806,1423,2934
854,125,518,1152,2889
1184,191,519,1577,3315
1973,152,792,1181,1993
510,120,382,1228,2509
966,118,214,1523,3534
1438,169,859,867,2246
1986,95,342,774,3165
1907,105,713,1513,286
1489,200,172,812,776
1843,134,118,580,3213
825,94,540,783,716
1286,98,18,662,424
840,137,987,1081,3486
757,163,535,697,3237
814,177,1092,1406,1944
1195,80,327,1001,643
767,107,517,1995,2317
1068,97,994,1500,1436
994,173,491,530,3190
1550,133,268,832,2338
1878,85,210,1026,1334
623,127,144,672,3657
1829,160,729,1267,2080
525,190,82,670,1609
1065,89,188,928,3078
1425,127,150,1897,590
1296,129,1222,1382,2552
642,197,331,1011,3355
1664,177,1178,1929,1968
1498,170,347,1076,3358
981,136,75,688,1539
1236,143,492,1403,942
1673,187,65,734,3669
712,172,881,1234,3612
569,170,351,1159,2351
603,156,1842,1968,604
1332,187,758,1165,1285
1413,128,1323,1481,515
1064,184,1175,1569,654
1444,82,1092,1554,2540
1366,161,647,1876,3869
906,136,1102,1793,3412
1554,185,319,1367,509
1187,122,215,1125,2547
1156,173,945,1913,2735
1918,139,381,1203,1369
841,199,546,828,2942
730,167,1096,1155,2812
878,153,575,618,3497
1059,182,519,1545,619
1578,200,342,670,3483
1829,112,291,563,1475
1132,157,1091,1293,1950
1652,198,352,1084,3592
912,107,165,1723,3573
1181,116,385,831,2020
1497,92,1920,1933,1329
1790,100,396,1980,3568
1742,100,1134,1469,1947
1549,158,721,1514,1998
1372,193,687,937,725
1112,190,777,1119,3302
1005,133,176,1556,3884
783,150,458,1263,1185
1698,105,485,1819,1656
899,192,641,1638,2870
1062,151,798,1435,911
989,166,256,1394,3892
1983,125,370,1197,3897
1800,87,191,1108,656
1254,146,1571,1956,606
868,83,276,1026,1653
1205,175,573,614,860
1284,155,160,516,2197
626,187,90,1334,3458
1763,101,138,806,2066
694,193,983,1230,3676
1265,90,275,687,1518
816,198,149,558,1018
904,168,42,507,1360
979,164,793,1670,3449
1531,162,625,765,2524
934,182,521,1190,703
1624,200,1530,1744,1251
874,185,442,1248,582
1027,102,152,714,1732
1966,144,1242,1973,1252
1048,182,29,1670,2146
1496,126,501,506,1927
959,155,87,736,3328
1349,105,648,1019,2462
1689,168,521,674,1172
1558,146,120,1409,3598
582,168,985,1420,2437
1485,138,341,774,3271
1991,94,751,1377,1511
553,119,993,1517,2981
1231,113,43,1663,3119
805,88,1262,1538,3647
764,152,361,511,3148
894,130,104,541,2829
1589,84,618,940,2373
1456,80,815,1666,3998
743,95,1587,1659,316
1061,109,138,1330,999
1428,153,584,983,1808
674,93,750,772,589
832,93,820,1366,3317
1625,107,8,1219,670
907,151,171,507,584
1631,166,960,1735,2173
1584,135,160,1291,1561
1382,199,612,719,2073
633,102,709,1915,1401
1444,104,624,917,3764
852,147,538,730,1275
922,157,1295,1808,1464
1745,159,1164,1908,2885
862,107,829,1977,3458
1754,101,199,1452,3019
1008,109,825,1972,1083
1569,147,519,930,3538
1596,149,169,1190,2493
1807,134,1734,1968,3726
1660,184,76,1165,1531
1861,148,1698,1877,601
648,91,819,1997,2991
1379,134,387,671,3912
1910,115,985,1284,309
1807,155,970,974,323
1923,191,767,1759,1489
1345,162,512,1465,1322
904,102,56,760,1846
1239,122,590,661,417
1330,84,462,1304,3269
516,138,126,698,3731
672,95,578,1143,667
892,94,655,1782,1241
1778,101,1028,1445,3941
1130,132,88,1261,1018
1359,86,1692,1902,3142
1866,89,358,1782,1444
1597,89,64,1667,934
1046,100,259,1040,3863
1035,99,236,1960,3506
1175,164,873,1394,1944
1261,90,858,1591,348
1068,124,1405,1910,550
1713,104,237,890,971
1688,170,650,864,3984
1413,104,1949,1994,2973
559,82,541,823,2019
1483,146,361,1552,1587
860,187,335,1463,1870
1090,91,1638,1910,1352
686,91,1109,1392,570
818,177,111,510,546
1456,193,1285,1427,3624
774,188,1480,1731,2944
1068,197,322,875,1209
1373,141,1220,1348,2752
1777,188,511,616,3868
594,132,1011,1263,3087
1524,124,629,635,947
511,175,140,622,1484
1402,87,1081,1767,347
965,131,297,653,3227
1270,104,1512,1716,3299
919,159,275,570,1028
1963,157,1136,1813,714
1977,173,1145,1356,2641
1881,158,477,1553,1229
683,173,954,1985,2622
772,100,741,1471,929
536,135,547,705,1211
1694,186,1194,1208,1653
1633,111,146,906,511
1371,167,471,663,3034
551,172,169,1916,1414
1221,139,1895,1976,2438
1000,179,1537,1761,3744
1986,162,236,1520,1377
1119,164,821,915,3520
1699,97,466,1768,3796
1099,146,393,1096,1699
1576,90,400,631,336
950,156,774,843,1095
1081,99,284,519,325
606,146,465,1152,1223
502,199,705,1810,1649
957,160,38,1682,1898
1658,159,51,739,2609
1681,167,850,1005,2265
1983,87,349,676,2775
1753,113,387,1595,1445
1632,132,706,1623,2614
1949,145,951,1178,356
1696,97,179,772,523
688,131,426,1964,3745
1104,199,653,1413,1229
1122,184,1578,1963,1402
504,172,280,1795,2085
1154,156,251,1801,587
1727,85,1463,1992,2457
1674,89,1432,1649,2030
1948,135,477,571,816
1218,150,1122,1746,1667
531,189,145,1903,2958
1057,154,416,1055,3705
576,162,847,893,2800
1960,165,868,877,3773
673,88,594,1088,2050
718,88,518,830,1754
864,103,663,1805,1904
547,154,371,541,2705
623,102,1749,1781,3537
1793,154,586,722,1370
1720,137,409,646,1222
812,106,35,1309,3102
980,160,1008,1758,2268
643,187,442,1079,2648
1925,175,983,1087,2173
1408,151,875,982,3162
1522,124,952,1191,1368
587,111,244,1361,2746
1959,191,65,1055,619
1872,89,1749,1767,724
1043,111,716,1626,912
1809,123,433,1661,2784
1703,92,134,521,793
1095,197,179,1247,560
1414,137,804,1564,312
1659,88,787,1515,545
1540,197,704,822,1591
1342,86,991,1638,2746
1189,198,379,932,893
518,128,489,710,2514
1449,144,1518,1883,1032
516,91,855,1401,819
1569,111,1261,1383,3672
1312,156,115,1791,3833
1893,179,1203,1432,1482
1076,105,545,1300,2043
530,118,818,1090,1229
1044,129,42,1262,1816
1330,126,1103,1637,2166
1836,104,168,1068,2469
1741,140,719,755,2575
1869,152,163,874,1375
1331,146,1162,1531,1732
1655,105,626,1348,673
605,162,329,656,2301
1245,105,330,1434,2676
1709,136,956,1292,1781
846,123,1140,1983,2248
1403,90,217,1623,921
688,89,271,869,391
775,185,444,1555,1719
1154,159,1003,1827,3262
1375,194,227,772,1947
1827,130,253,1764,2693
1697,90,88,1046,441
741,178,334,594,1886
1672,174,1281,1896,1267
514,186,168,1320,687
1375,105,898,1687,2890
989,124,46,1069,1737
1510,138,118,1170,887
1266,86,1187,1595,398
1396,138,1191,1347,2389
808,161,526,1324,3431
1542,182,346,966,3601
745,102,89,1538,2459
1735,148,137,846,3230
586,188,1226,1389,3646
1341,107,473,574,2200
781,88,368,607,3862
501,174,239,1636,3077
1224,139,622,709,621
1970,80,654,882,2372
618,138,853,1781,2574
1537,158,686,1305,2857
1018,153,992,1433,3143
1545,173,115,1352,3197
1871,144,275,1966,2727
1729,186,461,1178,1519
680,131,1428,1500,2438
1106,107,614,1212,2674
635,97,193,989,2107
618,143,1105,1602,2262
